,mean,sd,quality
2015-01-25,149.17691358024692,262.4909899389023,100.0
2015-01-26,147.4027160493827,261.2132227846264,100.0
2015-01-27,145.58148148148146,259.5733473178203,100.0
2015-01-28,144.3404938271605,258.4994360772439,100.0
2015-01-29,143.73074074074074,258.0713918220004,100.0
2015-01-30,142.490987654321,256.94032976357045,100.0
2015-01-31,141.10370370370373,255.5897225165971,100.0
2015-02-01,139.938024691358,254.36477034673916,100.0
2015-02-02,139.44728395061728,253.93587775761597,100.0
2015-02-03,139.62296296296296,255.25913342838706,100.0
2015-02-04,139.17506172839506,254.84821738695493,100.0
2015-02-05,138.64296296296297,254.34520153447184,100.0
2015-02-06,137.79086419753088,253.4438999127693,100.0
2015-02-07,136.82407407407408,252.4374540939685,100.0
2015-02-08,136.1504938271605,251.80969558329778,100.0
2015-02-09,135.53913580246913,251.23458654809815,100.0
2015-02-10,134.8272839506173,250.53717429760968,100.0
2015-02-11,134.16135802469137,249.91128014634057,100.0
2015-02-12,133.16604938271607,248.77922629652488,100.0
2015-02-13,131.7546913580247,247.1667851375181,100.0
2015-02-14,130.39456790123455,245.58694456367883,100.0
2015-02-15,129.63185185185185,244.77847482525453,100.0
2015-02-16,128.9482716049383,244.00124443222685,100.0
2015-02-17,128.26024691358023,243.2368254190518,100.0
2015-02-18,127.63345679012345,242.5665423041711,100.0
2015-02-19,126.76691358024692,241.59328288800776,100.0
2015-02-20,126.20012345679014,241.116148295245,100.0
2015-02-21,126.12382716049383,241.88605708353623,100.0
2015-02-22,126.04049382716047,241.8768056981758,100.0
2015-02-23,126.04049382716047,241.8768056981758,100.0
2015-02-24,125.90123456790124,241.78873302628637,100.0
2015-02-25,125.10518518518519,240.86452105961516,100.0
2015-02-26,124.81086419753086,240.6822043026734,100.0
2015-02-27,125.3643209876543,243.42828635420673,100.0
2015-02-28,125.64975308641976,245.46160216506019,100.0
2015-03-01,125.6267901234568,245.46314540999407,100.0
2015-03-02,125.44728395061728,245.34327840299773,100.0
2015-03-03,125.4348148148148,245.3467296506676,100.0
2015-03-04,125.4348148148148,245.3467296506676,100.0
2015-03-05,125.23172839506174,245.1283598637157,100.0
2015-03-06,124.4983950617284,244.31132124021997,100.0
2015-03-07,123.71506172839506,243.49310619154832,100.0
2015-03-08,122.59061728395062,242.2278396693167,100.0
2015-03-09,121.3853086419753,240.88006172204467,100.0
2015-03-10,120.15802469135802,239.515903305082,100.0
2015-03-11,118.91888888888889,238.14403164891624,100.0
2015-03-12,118.09172839506174,237.40330713150416,100.0
2015-03-13,117.36098765432098,236.76804197148806,100.0
2015-03-14,116.17135802469137,235.5410430463929,100.0
2015-03-15,115.52814814814813,235.03575935435396,100.0
2015-03-16,115.13432098765433,234.76211213661733,100.0
2015-03-17,115.23814814814816,235.97831843789749,100.0
2015-03-18,114.63481481481479,235.38909892511543,100.0
2015-03-19,114.34135802469136,235.2359432025274,100.0
2015-03-20,113.5764197530864,234.43330180089947,100.0
2015-03-21,112.50382716049384,233.22614482818977,100.0
2015-03-22,112.61567901234567,234.5667818657315,100.0
2015-03-23,112.60716049382717,235.38948716560475,100.0
2015-03-24,113.73012345679011,238.97979828059644,100.0
2015-03-25,114.64765432098764,242.86755682507084,100.0
2015-03-26,115.52160493827161,247.45116742731682,100.0
2015-03-27,114.99666666666666,246.96061269967728,100.0
2015-03-28,113.92962962962962,245.71004861647629,100.0
2015-03-29,113.57679012345679,245.46437597860896,100.0
2015-03-30,113.10037037037038,245.0051830290761,100.0
2015-03-31,112.49925925925925,244.36329750382816,100.0
2015-04-01,114.35888888888888,251.25234950145241,100.0
2015-04-02,119.97753086419753,260.17006584410734,100.0
2015-04-03,119.97098765432101,260.1715259958559,100.0
2015-04-04,120.31543209876543,261.785811776772,100.0
2015-04-05,120.31543209876543,261.785811776772,100.0
2015-04-06,120.36728395061728,261.84971417786744,100.0
